Zip Code;Official USPS city name;Official USPS State Code;Official State Name;ZCTA;ZCTA parent;Population;Density;Primary Official County Code;Primary Official County Name;County Weights;Official County Name;Official County Code;Imprecise;Military;Timezone;Geo Point
61744;Gridley;IL;Illinois;TRUE;;1923.0;9.5;17113;McLean;"{""17113"": ""89.22"", ""17105"": ""9.8"", ""17203"": ""0.98""}";McLean,Livingston,Woodford;17113,17105,17203;FALSE;FALSE;America/Chicago;40.73997, -88.8871
63334;Bowling Green;MO;Missouri;TRUE;;8882.0;19.7;29163;Pike;"{""29163"": ""99.04"", ""29113"": ""0.96""}";Pike,Lincoln;29163,29113;FALSE;FALSE;America/Chicago;39.30166, -91.18781
64855;Oronogo;MO;Missouri;TRUE;;2566.0;22.9;29097;Jasper;"{""29097"": ""96.78"", ""29011"": ""3.22""}";Jasper,Barton;29097,29011;FALSE;FALSE;America/Chicago;37.29597, -94.48582
67574;Rozel;KS;Kansas;TRUE;;163.0;0.5;20145;Pawnee;"{""20145"": ""100""}";Pawnee;20145;FALSE;FALSE;America/Chicago;38.22188, -99.38504
72663;Onia;AR;Arkansas;TRUE;;155.0;2.6;5137;Stone;"{""05137"": ""100""}";Stone;5137;FALSE;FALSE;America/Chicago;35.93775, -92.32779
78620;Dripping Springs;TX;Texas;TRUE;;17590.0;39.4;48209;Hays;"{""48209"": ""91.15"", ""48453"": ""8.44"", ""48031"": ""0.41""}";Hays,Travis,Blanco;48209,48453,48031;FALSE;FALSE;America/Chicago;30.21895, -98.12894
78638;Kingsbury;TX;Texas;TRUE;;2133.0;7.2;48187;Guadalupe;"{""48187"": ""100""}";Guadalupe;48187;FALSE;FALSE;America/Chicago;29.65691, -97.79496
79014;Canadian;TX;Texas;TRUE;;3964.0;1.6;48211;Hemphill;"{""48211"": ""98.67"", ""48295"": ""1.33""}";Hemphill,Lipscomb;48211,48295;FALSE;FALSE;America/Chicago;35.91222, -100.29813
85364;Yuma;AZ;Arizona;TRUE;;74333.0;727.4;4027;Yuma;"{""04027"": ""100""}";Yuma;4027;FALSE;FALSE;America/Phoenix;32.70312, -114.65882
85542;Peridot;AZ;Arizona;TRUE;;3700.0;6.5;4009;Graham;"{""04009"": ""84.42"", ""04007"": ""15.58""}";Graham,Gila;04009,04007;FALSE;FALSE;America/Phoenix;33.29655, -110.30316
2124;Dorchester Center;MA;Massachusetts;TRUE;;56649.0;7301.7;25025;Suffolk;"{""25025"": ""100""}";Suffolk;25025;FALSE;FALSE;America/New_York;42.28572, -71.07105
5343;Jamaica;VT;Vermont;TRUE;;718.0;6.1;50025;Windham;"{""50025"": ""100""}";Windham;50025;FALSE;FALSE;America/New_York;43.09865, -72.80043
7757;Oceanport;NJ;New Jersey;TRUE;;5593.0;869.3;34025;Monmouth;"{""34025"": ""100""}";Monmouth;34025;FALSE;FALSE;America/New_York;40.31621, -74.01608
8109;Merchantville;NJ;New Jersey;TRUE;;22235.0;1763.6;34007;Camden;"{""34007"": ""100""}";Camden;34007;FALSE;FALSE;America/New_York;39.95039, -75.05043
11782;Sayville;NY;New York;TRUE;;14965.0;1041.2;36103;Suffolk;"{""36103"": ""100""}";Suffolk;36103;FALSE;FALSE;America/New_York;40.73748, -73.08116
12118;Mechanicville;NY;New York;TRUE;;15508.0;189.6;36091;Saratoga;"{""36091"": ""96.32"", ""36083"": ""3.68""}";Saratoga,Rensselaer;36091,36083;FALSE;FALSE;America/New_York;42.91684, -73.72138
58505;Bismarck;ND;North Dakota;TRUE;;0.0;0.0;38015;Burleigh;"{""38015"": ""100""}";Burleigh;38015;FALSE;FALSE;America/Chicago;46.8202, -100.78111
